# Species	Genes	Alg.-Conn.	Ht-clean.faa	Pb-clean.faa	Pc-clean.faa	Pf-clean.faa	Pk-clean.faa	Pv-clean.faa	Py-clean.faa	Tg-clean.faa
8	16	0.14	2397_g_Ht	3114_g_Pb,7179_g_Pb	4216_g_Pc,4523_g_Pc	3913_g_Pf,2682_g_Pf	4319_g_Pk	4531_g_Pv,4227_g_Pv,5549_g_Pv,5550_g_Pv	647_g_Py,3929_g_Py	807_g_Tg,1624_g_Tg
8	15	0.115	5_g_Ht,2835_g_Ht	4836_g_Pb,1717_g_Pb	1733_g_Pc,1612_g_Pc	1443_g_Pf,1561_g_Pf	1775_g_Pk,1673_g_Pk	1704_g_Pv,1587_g_Pv	2540_g_Py	14_g_Tg,376_g_Tg
8	13	0.228	2642_g_Ht	6791_g_Pb	3101_g_Pc	1275_g_Pf,2032_g_Pf,2523_g_Pf,663_g_Pf,3715_g_Pf	3166_g_Pk	3073_g_Pv	4205_g_Py	9899_g_Tg,12624_g_Tg
8	13	0.163	2780_g_Ht	7177_g_Pb	4520_g_Pc,4521_g_Pc	2680_g_Pf,2683_g_Pf,2679_g_Pf	4633_g_Pk,4634_g_Pk	4528_g_Pv,4529_g_Pv	3931_g_Py	605_g_Tg
8	12	0.667	2163_g_Ht	975_g_Pb	2221_g_Pc	2208_g_Pf	2281_g_Pk	2178_g_Pv,5484_g_Pv,5485_g_Pv,5571_g_Pv	1273_g_Py	425_g_Tg,750_g_Tg
8	12	0.124	2263_g_Ht	2189_g_Pb	4194_g_Pc	1335_g_Pf,3151_g_Pf	1884_g_Pk,4290_g_Pk	1810_g_Pv,4205_g_Pv	2440_g_Py	9769_g_Tg,12893_g_Tg
8	11	0.818	1941_g_Ht	534_g_Pb,749_g_Pb	3470_g_Pc	5161_g_Pf,3978_g_Pf	3549_g_Pk	3464_g_Pv	3011_g_Py	10375_g_Tg,12149_g_Tg
8	11	0.636	1116_g_Ht	4130_g_Pb	1048_g_Pc	229_g_Pf	1081_g_Pk	1028_g_Pv	410_g_Py	4925_g_Tg,5397_g_Tg,4924_g_Tg,5396_g_Tg
8	11	0.425	102_g_Ht	2361_g_Pb	2485_g_Pc	2479_g_Pf	2557_g_Pk	2446_g_Pv	1528_g_Py	4871_g_Tg,5343_g_Tg,9859_g_Tg,12665_g_Tg
8	11	0.173	1366_g_Ht	2891_g_Pb	1992_g_Pc	117_g_Pf	2032_g_Pk	1951_g_Pv	1049_g_Py	9297_g_Tg,13371_g_Tg,9298_g_Tg,13370_g_Tg
8	11	0.16	243_g_Ht,2347_g_Ht	840_g_Pb	4331_g_Pc	3801_g_Pf,3493_g_Pf	4437_g_Pk	4339_g_Pv	2876_g_Py	4677_g_Tg,5149_g_Tg
8	10	0.8	1991_g_Ht	910_g_Pb,5470_g_Pb	4431_g_Pc	2586_g_Pf	4535_g_Pk	4434_g_Pv	4020_g_Py	11173_g_Tg,11970_g_Tg
8	10	0.8	2162_g_Ht	4263_g_Pb	2107_g_Pc	812_g_Pf	2155_g_Pk	2066_g_Pv,5676_g_Pv	1160_g_Py	10456_g_Tg,12803_g_Tg
8	10	0.8	913_g_Ht	5516_g_Pb,1008_g_Pb	1393_g_Pc	1649_g_Pf	1438_g_Pk	1367_g_Pv	4802_g_Py	9187_g_Tg,13478_g_Tg
8	10	0.6	1472_g_Ht	5360_g_Pb,1135_g_Pb	4159_g_Pc	3120_g_Pf	4256_g_Pk	4174_g_Pv	3604_g_Py	1994_g_Tg,2265_g_Tg
8	10	0.3	805_g_Ht	4352_g_Pb,5247_g_Pb	4254_g_Pc	3876_g_Pf	4370_g_Pk	4263_g_Pv	2308_g_Py	903_g_Tg,1720_g_Tg
8	10	0.291	3093_g_Ht	6532_g_Pb,5453_g_Pb	4464_g_Pc	2621_g_Pf	4570_g_Pk	4469_g_Pv	3987_g_Py	4769_g_Tg,5241_g_Tg
8	10	0.2	2374_g_Ht	979_g_Pb,5548_g_Pb	2638_g_Pc	737_g_Pf	2710_g_Pk	2614_g_Pv	722_g_Py	9857_g_Tg,12667_g_Tg
8	10	0.2	2718_g_Ht	3284_g_Pb,6106_g_Pb	892_g_Pc	383_g_Pf	929_g_Pk	874_g_Pv	271_g_Py	4216_g_Tg,8391_g_Tg
8	10	0.2	3290_g_Ht	5512_g_Pb,3174_g_Pb	3117_g_Pc	4862_g_Pf	3189_g_Pk	3090_g_Pv	4189_g_Py	2651_g_Tg,3332_g_Tg
8	10	0.2	58_g_Ht	3332_g_Pb,5803_g_Pb	2984_g_Pc	1164_g_Pf	3053_g_Pk	2938_g_Pv	3409_g_Py	1058_g_Tg,1580_g_Tg
